"","Mock1_F_filt.fastq.gz","Mock2_F_filt.fastq.gz","Mock3_F_filt.fastq.gz","Mock1Gold","Mock2Gold","Mock3Gold"
"Mock1_F_filt.fastq.gz",0,0.0264536493859103,0.0858440228007055,0.436588397460585,0.436588397460585,0.436588397460585
"Mock2_F_filt.fastq.gz",0.0264536493859103,0,0.09791196224438,0.434718293629833,0.434718293629833,0.434718293629833
"Mock3_F_filt.fastq.gz",0.0858440228007055,0.09791196224438,0,0.416916194439331,0.416916194439331,0.416916194439331
"Mock1Gold",0.436588397460585,0.434718293629833,0.416916194439331,0,0,0
"Mock2Gold",0.436588397460585,0.434718293629833,0.416916194439331,0,0,0
"Mock3Gold",0.436588397460585,0.434718293629833,0.416916194439331,0,0,0
