"","Mock1_F_filt.fastq.gz","Mock2_F_filt.fastq.gz","Mock3_F_filt.fastq.gz","Mock1Gold","Mock2Gold","Mock3Gold"
"Mock1_F_filt.fastq.gz",0,0.110047852958115,0.076079925419959,0.433822679032841,0.433822679032841,0.433822679032841
"Mock2_F_filt.fastq.gz",0.110047852958115,0,0.142049491043133,0.457786692368524,0.457786692368524,0.457786692368524
"Mock3_F_filt.fastq.gz",0.076079925419959,0.142049491043133,0,0.424449419735842,0.424449419735842,0.424449419735842
"Mock1Gold",0.433822679032841,0.457786692368524,0.424449419735842,0,0,0
"Mock2Gold",0.433822679032841,0.457786692368524,0.424449419735842,0,0,0
"Mock3Gold",0.433822679032841,0.457786692368524,0.424449419735842,0,0,0
