"","Mock1_F_filt.fastq.gz","Mock2_F_filt.fastq.gz","Mock3_F_filt.fastq.gz","Mock1Gold","Mock2Gold","Mock3Gold"
"Mock1_F_filt.fastq.gz",0,0.0337522902074743,0.0968568292052257,0.423008060523566,0.423008060523566,0.423008060523566
"Mock2_F_filt.fastq.gz",0.0337522902074743,0,0.116192180871811,0.407729119433853,0.407729119433853,0.407729119433853
"Mock3_F_filt.fastq.gz",0.0968568292052257,0.116192180871811,0,0.46465177573551,0.46465177573551,0.46465177573551
"Mock1Gold",0.423008060523566,0.407729119433853,0.46465177573551,0,0,0
"Mock2Gold",0.423008060523566,0.407729119433853,0.46465177573551,0,0,0
"Mock3Gold",0.423008060523566,0.407729119433853,0.46465177573551,0,0,0
